,MentalHealth,DevType,YearlySalary
19032,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, full-stack",40000
19034,"Or, in your own words:","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile;Project manager;Designer;Product manager;System administrator",96000
19048,Depression;Anxiety,"Developer, front-end;Developer, full-stack;Developer, back-end;Blockchain",82500
19049,None of the above,"Developer, back-end;Database administrator",60000
19050,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, front-end;Developer, full-stack",840000
19051,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Database administrator",80000
19052,None of the above,"Developer, full-stack",75000
19058,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",35000
19059,None of the above,Other,87147
19064,Anxiety,"Developer, front-end",50000
19067,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Project manager;Designer",432000
19070,Prefer not to say,"Developer, full-stack",66000
19075,Anxiety,Data scientist or machine learning specialist,42000
19076,None of the above,"Developer, full-stack",60500
19079,None of the above,"Developer, back-end",47000
19082,None of the above,"Developer, front-end",56500
19083,None of the above,"Developer, mobile",54000
19084,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices",49800
19088,None of the above,"Developer, full-stack",864000
19089,None of the above,"Developer, front-end",39996
19093,None of the above,"Developer, back-end",36000
19097,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Engineer, site reliability;Developer, full-stack;DevOps specialist;Cloud infrastructure engineer;System administrator",150000
19100,None of the above,"Developer, full-stack;Developer, back-end",34000
19104,Anxiety,"Developer, full-stack",54000
19106,None of the above,"Developer, back-end",53000
19108,None of the above,"Developer, back-end",26000
19110,None of the above,"Developer, back-end",46000
19111,None of the above,"Developer, back-end",24000
19120,None of the above,"Developer, full-stack;Academic researcher;Scientist",100000
19121,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist",117240
19123,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;Developer, mobile",70000
19127,Prefer not to say,"Developer, front-end;Developer, back-end;Database administrator;Cloud infrastructure engineer;Security professional",750000
19130,None of the above,"Developer, full-stack;Developer, QA or test;Database administrator;Developer, game or graphics;Project manager;Designer;System administrator;Marketing or sales professional",70000
19131,None of the above,"Developer, full-stack",65000
19136,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",23000
19138,None of the above,"Developer, full-stack;Senior Executive (C-Suite, VP, etc.)",840000
19139,None of the above,"Engineer, data;Developer, back-end",33000
19145,None of the above,"Developer, back-end",75000
19148,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Data or business analyst",59218
19150,None of the above,"Developer, full-stack;Student;DevOps specialist",24000
19154,"Depression;I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, front-end;Developer, full-stack",39000
19157,None of the above,"Developer, back-end",22000
19160,None of the above,"Engineer, site reliability;DevOps specialist;System administrator",32000
19161,None of the above,"Developer, full-stack;Developer, back-end;Cloud infrastructure engineer",72000
19164,None of the above,"Data scientist or machine learning specialist;Developer, desktop or enterprise applications;Developer, embedded applications or devices",51000
19170,Depression,"Developer, back-end;DevOps specialist;Cloud infrastructure engineer;System administrator",28800
19173,None of the above,"Developer, full-stack",85000
19177,None of the above,"Engineer, data;Developer, back-end;Project manager",489600
19179,None of the above,"Developer, front-end;Developer, mobile",282000
19181,None of the above,"Developer, full-stack",612000
19188,None of the above,"Developer, mobile",90000
19192,None of the above,"Developer, front-end;Developer, mobile",31000
19195,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack;Developer, desktop or enterprise applications;Developer, embedded applications or devices;System administrator",27600
19199,None of the above,"Developer, desktop or enterprise applications",30000
19207,Depression,"Developer, back-end",180000
19208,Prefer not to say,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile",125000
19212,None of the above,"Developer, front-end;Developer, full-stack",360000
19218,None of the above,"Developer, full-stack",90000
19221,None of the above,"Developer, back-end;DevOps specialist;Cloud infrastructure engineer",60000
19222,None of the above,Other,27600
19223,Anxiety,"Data scientist or machine learning specialist;Engineer, data;Academic researcher;Scientist",70000
19230,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Designer",40000
19232,None of the above,"Developer, desktop or enterprise applications;Developer, embedded applications or devices",85000
19234,None of the above,"Developer, back-end;Developer, mobile",70000
19235,Anxiety,"Developer, mobile",83595
19239,None of the above,"Developer, full-stack",100000
19246,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack;DevOps specialist",27000
19249,Prefer not to say,"Developer, full-stack",30000
19250,None of the above,"Developer, front-end;Developer, full-stack;Developer, embedded applications or devices",45000
19254,Prefer not to say,"Developer, full-stack",132000
19264,None of the above,"Engineer, site reliability;DevOps specialist;Cloud infrastructure engineer",74000
19267,None of the above,"Developer, full-stack",65000
19268,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end",55000
19271,None of the above,Other;Data or business analyst,57000
19274,None of the above,"Developer, full-stack",140
19275,None of the above,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",55812
19278,None of the above,"Developer, full-stack;Developer, desktop or enterprise applications;Engineering manager;DevOps specialist",150000
19279,None of the above,"Developer, full-stack",85000
19282,None of the above,"Developer, desktop or enterprise applications",744000
19285,None of the above,Data or business analyst,64000
19290,None of the above,"Engineer, data;Developer, back-end;Data or business analyst",168267
19291,Prefer not to say,"Engineer, data;Developer, desktop or enterprise applications",52000
19296,None of the above,"Developer, back-end",35000
19300,None of the above,"Developer, full-stack",120000
19302,None of the above,"Developer, embedded applications or devices",66000
19303,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)",Academic researcher,91000
19308,Anxiety,"Developer, back-end;Developer, QA or test;DevOps specialist;Developer, embedded applications or devices",88000
19309,None of the above,"Developer, back-end",49680
19321,None of the above,"Engineer, data;Developer, back-end",83000
19326,None of the above,"Data scientist or machine learning specialist;Developer, back-end;Developer, embedded applications or devices",60000
19335,None of the above,"Developer, full-stack",800000
19336,None of the above,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, embedded applications or devices",70000
19337,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;Developer, desktop or enterprise applications;DevOps specialist",3960
19341,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Designer",67200
19345,None of the above,"Developer, mobile;Engineering manager",80000
19349,None of the above,"Developer, back-end;Developer, desktop or enterprise applications",35000
19350,None of the above,"Developer, back-end",516000
19352,None of the above,"Engineer, data;Student;DevOps specialist",720000
